COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,,,VACCINES_USED,,,Abdala,Anhui ZL - Recombinant,AstraZeneca ,Beijing CNBG - BBIBP-CorV,CanSino ,Sputnik V,Janssen - ,Moderna,Novavx,Pfizer ,Covishield,Sinovac,Soberana02,Wuhan CNBG
Qatar,QAT,EMRO,REPORTING,29-07-2021,3730856,2028988,129.496,70.425,1701868,59.071,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Republic of Korea,KOR,WPRO,REPORTING,26-07-2021,22622058,16893124,44.124,32.95,6858656,13.378,26-02-2021,5,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,Novavx,Pfizer ,No,No,No,No
Republic of Moldova,MDA,EURO,REPORTING,25-07-2021,960974,554365,23.8,13.742,406609,10.948,03-03-2021,6,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,No,No,Pfizer ,No,Sinovac,No,No
Romania,ROU,EURO,REPORTING,25-07-2021,9322767,4946730,48.2,25.592,4376037,24.775,27-01-2021,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Russian Federation,RUS,EURO,OWID,25-07-2021,52782888,32086928,36.2,21.987,,14.182,,2,,,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,,No,Abdala,No,No,No,Sputnik V,No,No,No,No,No,No,No,No
Rwanda,RWA,AFRO,REPORTING,26-07-2021,398096,350400,3.074,2.705,53511,0.413,14-02-2021,3,,,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,Covishield,No,No,No
Saba,XCA,AMRO,REPORTING,23-07-2021,1300,,67.253,,1300,67.253,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Saint Helena,SHN,AFRO,OWID,05-05-2021,7892,4361,129.995,71.833,3531,58.162,,1,,,AstraZeneca - AZD1222,,,No,Abdala,No,No,No,No,No,No,No,No,No,No,No,No
Saint Kitts and Nevis,KNA,AMRO,REPORTING,23-07-2021,43003,23535,80.845,44.245,19468,36.599,22-02-2021,2,,,"AstraZeneca - Vaxzevria,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,No,No,No
Saint Lucia,LCA,AMRO,REPORTING,23-07-2021,55450,31842,30.197,17.341,23608,12.856,17-02-2021,2,,,"AstraZeneca - Vaxzevria,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,No,No,No
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,23-07-2021,26606,15714,23.982,14.164,10892,9.818,01-02-2021,3,,,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Samoa,WSM,WPRO,REPORTING,27-07-2021,84413,61774,42.544,31.134,22639,11.41,18-04-2021,1,,,AstraZeneca - Vaxzevria,,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,No,No,No,No
San Marino,SMR,EURO,REPORTING,25-07-2021,45138,23536,133,69.35,21602,63.651,24-02-2021,2,,,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,Sputnik V,No,No,No,Pfizer ,No,No,No,No
Sao Tome and Principe,STP,AFRO,REPORTING,26-07-2021,43960,32090,20.058,14.642,11870,5.416,15-03-2021,2,,,"AstraZeneca - Vaxzevria,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,No,No,No
Saudi Arabia,SAU,EMRO,REPORTING,11-07-2021,19596394,17390499,56.289,49.953,2205895,6.336,06-01-2021,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Senegal,SEN,AFRO,REPORTING,26-07-2021,906557,640013,5.414,3.822,276953,1.654,23-02-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Serbia,SRB,EURO,REPORTING,25-07-2021,5470674,2803038,79,40.467,2667636,38.512,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,Pfizer ,No,No,No,No
Seychelles,SYC,AFRO,REPORTING,26-07-2021,139625,71490,141.972,72.692,68135,69.28,10-01-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Sierra Leone,SLE,AFRO,REPORTING,26-07-2021,156759,134330,1.965,1.684,22429,0.281,15-03-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Singapore,SGP,WPRO,REPORTING,24-07-2021,7013781,4230379,119.887,72.31,3020766,51.634,30-12-2020,3,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Sint Eustatius,XBA,AMRO,REPORTING,23-07-2021,2536,1325,80.79,42.211,1211,38.579,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sint Maarten,SXM,AMRO,REPORTING,23-07-2021,44042,23885,102.705,55.699,20157,47.006,22-02-2021,3,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Slovakia,SVK,EURO,REPORTING,25-07-2021,4040711,2131852,74,39.06,1908859,35.435,06-01-2021,5,,,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,Sputnik V,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Slovenia,SVN,EURO,REPORTING,25-07-2021,1596648,879827,76.2,41.979,716821,37.309,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Solomon Islands,SLB,WPRO,REPORTING,23-07-2021,40404,29429,5.882,4.284,10975,1.598,23-03-2021,3,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Somalia,SOM,EMRO,REPORTING,11-07-2021,249790,162655,1.572,1.023,87135,0.548,16-03-2021,3,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,Sinovac,No,No
South Africa,ZAF,AFRO,REPORTING,26-07-2021,6384382,4072823,10.765,6.867,2311559,3.898,17-02-2021,1,,,Janssen - Ad26.COV 2.5,,,No,Abdala,No,No,No,No,Janssen - ,No,No,No,No,No,No,No
South Sudan,SSD,AFRO,REPORTING,26-07-2021,56989,52226,0.509,0.467,4763,0.043,06-04-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Spain,ESP,EURO,REPORTING,25-07-2021,54115158,30831706,114.3,65.138,23283452,52.92,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Sri Lanka,LKA,SEARO,REPORTING,27-07-2021,10119124,8232194,47.256,38.444,1886930,8.812,29-01-2021,5,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,Moderna,No,Pfizer ,Covishield,No,No,No
Sudan,SDN,EMRO,REPORTING,18-07-2021,810560,627833,1.849,1.432,182727,0.417,09-03-2021,4,,,"Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,Pfizer ,Covishield,Sinovac,No,No
Suriname,SUR,AMRO,REPORTING,23-07-2021,232666,182342,39.661,31.083,50324,8.578,23-02-2021,3,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Sweden,SWE,EURO,REPORTING,25-07-2021,10266947,6254753,99.4,60.564,4012194,38.849,23-12-2020,3,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Switzerland,CHE,EURO,REPORTING,25-07-2021,8635177,4606028,99.8,53.22,4029149,46.555,23-12-2020,2,,,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Syrian Arab Republic,SYR,EMRO,REPORTING,09-07-2021,131221,121909,0.75,0.697,9312,0.053,01-04-2021,5,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,No,No,No,Covishield,Sinovac,No,No
Tajikistan,TJK,EURO,REPORTING,25-07-2021,492066,462542,5.2,4.85,29524,0.31,24-03-2021,3,,,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,Sinovac,No,No
Thailand,THA,SEARO,REPORTING,25-07-2021,15960778,12307788,22.866,17.633,3652990,5.234,28-02-2021,6,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,Janssen - ,Moderna,No,No,Covishield,Sinovac,No,No
The United Kingdom,GBR,EURO,OWID,24-07-2021,82413766,46314039,121.4,68.223,,53.177,21-12-2020,3,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Timor-Leste,TLS,SEARO,REPORTING,27-07-2021,363269,276510,27.553,20.972,86759,6.58,07-04-2021,3,,,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,Sinovac,No,No
Togo,TGO,AFRO,REPORTING,26-07-2021,454208,304278,5.486,3.675,149930,1.811,10-03-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Tokelau,TKL,WPRO,REPORTING,26-07-2021,953,953,70.593,70.593,,,20-07-2021,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
Tonga,TON,WPRO,REPORTING,26-07-2021,45549,28790,43.095,27.239,16759,15.856,14-04-2021,1,,,AstraZeneca - Vaxzevria,,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,No,No,No,No
Trinidad and Tobago,TTO,AMRO,REPORTING,23-07-2021,455365,279335,32.538,19.96,176030,12.578,17-02-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,Pfizer ,Covishield,No,No,No
Tunisia,TUN,EMRO,REPORTING,25-07-2021,2601452,1667446,22.011,14.109,934006,7.903,13-03-2021,5,,,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,Sputnik V,Janssen - ,No,No,Pfizer ,No,Sinovac,No,No
Turkey,TUR,EURO,OWID,25-07-2021,63432446,38965125,75.2,46.201,,24.701,,2,,,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,Sinovac,No,No
Turkmenistan,TKM,EURO,REPORTING,04-04-2021,41993,32240,0.7,0.535,9753,0.162,24-02-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SRCVB - EpiVacCorona",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,No,No,No,No
Turks and Caicos Islands,TCA,AMRO,REPORTING,23-07-2021,47263,24567,122.07,63.451,22696,58.619,11-01-2021,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
Tuvalu,TUV,WPRO,REPORTING,22-06-2021,4772,4772,40.468,40.468,,,13-04-2021,1,,,AstraZeneca - Vaxzevria,,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,No,No,No,No
Uganda,UGA,AFRO,REPORTING,26-07-2021,1058084,881645,2.313,1.927,185170,0.405,10-03-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Ukraine,UKR,EURO,REPORTING,25-07-2021,4812501,3165584,11,7.238,1646917,3.767,24-02-2021,6,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,Covishield,Sinovac,No,No
United Arab Emirates,ARE,EMRO,REPORTING,29-07-2021,16645208,,168.297,,,,14-12-2020,5,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,Pfizer ,Covishield,No,No,No
United States of America,USA,AMRO,REPORTING,23-07-2021,341429696,191811219,103.15,57.949,162771892,49.175,14-12-2020,3,,,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Uruguay,URY,AMRO,REPORTING,23-07-2021,4623276,2510872,133.093,72.282,2112404,60.811,27-02-2021,3,,,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,Pfizer ,No,Sinovac,No,No
Uzbekistan,UZB,EURO,REPORTING,25-07-2021,6007782,3721551,18,12.666,1768485,5.284,28-04-2021,3,,,"Anhui ZL - Recombinant,Gamaleya - Sputnik V,SII - Covishield",,,No,Abdala,No,No,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Vanuatu,VUT,WPRO,REPORTING,23-07-2021,26583,26479,8.655,8.621,115,0.037,02-06-2021,2,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,No,No,No,No
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,23-07-2021,1446988,1223130,5.089,4.301,223858,0.787,22-02-2021,3,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,No,No,No,Wuhan CNBG
Viet Nam,VNM,WPRO,REPORTING,23-07-2021,4411659,4077099,4.532,4.189,334560,0.344,08-03-2021,5,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,Moderna,No,Pfizer ,No,No,No,No
Wallis and Futuna,WLF,WPRO,REPORTING,22-07-2021,9276,4674,82.483,41.561,4602,40.921,19-03-2021,1,,,Moderna - mRNA-1273,,,No,Abdala,No,No,No,No,No,Moderna,No,No,No,No,No,No
Yemen,YEM,EMRO,REPORTING,27-07-2021,311483,298161,1.044,1,13322,0.045,20-04-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Zambia,ZMB,AFRO,REPORTING,26-07-2021,312469,233129,1.7,1.268,66115,0.36,14-04-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Zimbabwe,ZWE,AFRO,REPORTING,26-07-2021,2127402,1447342,14.313,9.738,680060,4.576,18-02-2021,3,,,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Sinovac - CoronaVac",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,No,Sinovac,No,No
